City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
93,Saint-Philippe,RE,-21.3585,55.7679,71.19,89,61,15.99,light rain
94,Vaini,TO,-21.2,-175.2,75.36,83,75,5.75,broken clouds
95,Lasa,IT,46.6166,10.7002,59.02,95,95,3.38,overcast clouds
96,Namibe,AO,-15.1961,12.1522,62.89,88,25,4.97,scattered clouds
97,Yellowknife,CA,62.456,-114.3525,46.42,70,40,6.91,scattered clouds
98,Naze,JP,28.3667,129.4833,77.92,80,13,14.5,few clouds
99,Margate,GB,51.3813,1.3862,60.66,98,87,13.22,overcast clouds
100,Tura,IN,25.5198,90.2201,75.87,84,80,3.06,broken clouds
101,Guane,CU,22.2025,-84.0875,81.7,77,41,2.64,scattered clouds
102,Limon,CR,10.0,-83.0333,73.29,94,90,4.61,overcast clouds
103,Maceio,BR,-9.6658,-35.7353,81.84,78,40,9.22,scattered clouds
104,Vardo,NO,70.3705,31.1107,48.4,85,100,24.02,overcast clouds
105,Jamestown,US,42.097,-79.2353,62.19,50,90,1.01,overcast clouds
106,Qaanaaq,GL,77.484,-69.3632,19.18,61,20,8.21,few clouds
107,Jinji,CN,23.2281,110.8261,77.02,84,6,1.83,clear sky
108,Georgetown,MY,5.4112,100.3354,76.95,98,40,3.0,light rain
109,Sitka,US,57.0531,-135.33,57.09,47,75,6.91,broken clouds
110,Nemuro,JP,43.3236,145.575,58.59,79,8,10.2,clear sky
111,Makakilo City,US,21.3469,-158.0858,88.12,55,1,12.66,clear sky
112,Talara,PE,-4.5772,-81.2719,66.24,84,90,13.85,overcast clouds
113,Kamina,CD,-8.7386,24.9906,66.79,66,66,4.65,broken clouds
114,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,6.91,light intensity drizzle
115,Guiratinga,BR,-16.3494,-53.7583,73.92,73,69,12.1,broken clouds
116,Chandbali,IN,20.7833,86.7667,79.02,88,99,7.2,overcast clouds
117,Khammam,IN,17.25,80.15,77.36,91,100,7.07,heavy intensity rain
118,Mount Gambier,AU,-37.8333,140.7667,48.11,76,55,10.36,broken clouds
119,Bodden Town,KY,19.2833,-81.25,86.99,77,75,4.0,broken clouds
120,Udachnyy,RU,66.4167,112.4,28.83,92,76,11.9,broken clouds
121,Airai,TL,-8.9266,125.4092,66.9,48,37,2.44,scattered clouds
122,Hashtrud,IR,37.4779,47.0508,49.98,57,0,3.11,clear sky
123,Hay River,CA,60.8156,-115.7999,48.16,66,75,10.36,broken clouds
124,Sovetskiy,RU,61.3614,63.5842,29.91,93,95,5.86,overcast clouds
125,Pisco,PE,-13.7,-76.2167,64.45,72,0,19.57,clear sky
126,Butaritari,KI,3.0707,172.7902,82.87,77,100,14.7,light rain
127,Santa Isabel,BR,-23.3156,-46.2214,72.66,85,33,2.71,scattered clouds
128,Oak Ridge,US,36.0104,-84.2696,73.81,63,7,1.54,clear sky
129,Manbij,SY,36.5281,37.9549,57.97,28,22,7.83,few clouds
130,Saint-Joseph,RE,-21.3667,55.6167,70.18,85,41,15.14,light rain
131,Lazaro Cardenas,MX,17.9583,-102.2,83.79,76,96,5.26,overcast clouds
132,Tommot,RU,58.9564,126.2925,42.15,73,100,8.84,overcast clouds
133,Weymouth,US,42.2209,-70.9398,68.22,57,1,1.01,clear sky
134,Togur,RU,58.3631,82.8265,36.19,93,100,7.47,overcast clouds
135,Portland,US,45.5234,-122.6762,77.09,48,75,3.0,broken clouds
136,Ode,NG,7.7899,5.7117,69.39,96,85,4.54,light rain
137,Ha Tinh,VN,18.3333,105.9,74.59,94,90,4.65,overcast clouds
138,Batagay-Alyta,RU,67.8006,130.4114,26.92,82,45,3.6,scattered clouds
139,Grindavik,IS,63.8424,-22.4338,42.75,81,90,27.63,overcast clouds
140,Muskogee,US,35.5834,-95.3336,91.94,28,1,11.5,clear sky
141,Cauquenes,CL,-35.9671,-72.3225,50.45,60,50,5.35,scattered clouds
142,Padang,ID,-0.9492,100.3543,76.01,91,100,2.1,light rain
143,Port-Gentil,GA,-0.7193,8.7815,78.76,83,75,8.05,broken clouds
144,Lisala,CD,2.15,21.5167,68.85,96,76,1.74,broken clouds
145,Karratha,AU,-20.7377,116.8463,68.36,44,6,11.25,clear sky
146,Congonhas,BR,-20.4997,-43.8578,62.96,90,100,2.82,overcast clouds
147,Huilong,CN,31.8111,121.655,75.92,80,58,8.01,broken clouds
148,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,6.91,scattered clouds
149,Camana,PE,-16.6228,-72.7111,61.9,79,63,5.14,broken clouds
150,Mianyang,CN,31.4593,104.7542,67.69,95,100,1.77,light rain
151,Jiuquan,CN,39.7432,98.5174,59.4,32,83,7.58,broken clouds
152,Tiksi,RU,71.6872,128.8694,33.55,96,100,7.63,overcast clouds
153,Khurda,IN,20.1833,85.6167,78.71,96,100,6.49,overcast clouds
154,Khatanga,RU,71.9667,102.5,26.92,95,78,8.61,broken clouds
155,Umm Lajj,SA,25.0213,37.2685,83.73,52,6,10.22,clear sky
156,Ancud,CL,-41.8697,-73.8203,51.33,76,17,6.4,few clouds
157,Leticia,CO,-4.2153,-69.9406,86.05,66,40,5.75,scattered clouds
158,Ulaangom,MN,49.9811,92.0667,34.11,35,93,6.2,overcast clouds
159,Juegang,CN,32.3174,121.1855,76.98,91,67,7.43,broken clouds
160,Luderitz,NA,-26.6481,15.1594,57.4,95,89,14.72,overcast clouds
161,Oussouye,SN,12.485,-16.5469,80.78,85,100,5.88,overcast clouds
162,Aitape,PG,-3.1374,142.3475,82.33,77,100,2.48,overcast clouds
163,Itoman,JP,26.1247,127.6694,82.42,88,20,6.91,few clouds
